Limit Functions,Locations,Functions,Args
1,,,
2,0.3125,0.8888888888888888,0.9375
3,0.3333333333333333,0.6794871794871794,0.9736842105263158
4,0.47916666666666663,0.67,0.9791666666666666
5,0.49085271317829454,0.6870265151515151,0.9805484888019134
6,0.45809018567639254,0.64375,0.9665063742032247
7,0.4346523130637184,0.6567411083540114,0.9683764510779436
8,0.4109009877138039,0.651670146137787,0.9654253810705423
9,0.3933812735113313,0.6469960744154293,0.9652966903073287
10,0.3813689144561628,0.6402503763568655,0.9644372008062485
11,0.36722369341416955,0.6275551246139481,0.9609518058431102
12,0.3574252850553429,0.6212068495019785,0.9620999944693325
13,0.35170631424812027,0.6194016925370517,0.962396878931449
14,0.346508203775015,0.6154011154011154,0.9601104835124604
15,0.34307479291504844,0.615688568477413,0.9583778959264396
16,0.3417997163655058,0.6177314468544834,0.9572094580932161
17,0.3397098908886592,0.6184544370425199,0.9568145060337491
18,0.33857215411674324,0.6166962500510058,0.9566374334477782
19,0.33703569163762065,0.6162076635325043,0.9569746229233009
20,0.3358773462721226,0.6173709061683745,0.9572406221633424
21,0.3355812135719272,0.6183371412538079,0.9570642257930392
22,0.3346052855564336,0.6188184311135132,0.9571302808302808
23,0.3340594134302895,0.6192985086561913,0.9571961329334602
24,0.33338386355479854,0.6192985086561913,0.9571961329334602
25,0.33316832429868254,0.6193580912448837,0.9568783474535009
26,0.33294856273570167,0.618580003190556,0.9568783474535009
27,0.33276227199519004,0.6190585728226883,0.9569443836748585
28,0.33171273906118753,0.6192371031746032,0.9565669453532049
29,0.33171273906118753,0.6192371031746032,0.9565669453532049
30,0.33138002818951134,0.6192371031746032,0.9565669453532049
31,0.331080306783025,0.6197124625963577,0.9566331542779714
32,0.331080306783025,0.6197124625963577,0.9566331542779714
33,0.331080306783025,0.6197124625963577,0.9566331542779714
34,0.3308372186822589,0.6197710089854728,0.9559381266458892
35,0.3308372186822589,0.6197710089854728,0.9559381266458892
36,0.3308372186822589,0.6197710089854728,0.9559381266458892
37,0.3308372186822589,0.6197710089854728,0.9559381266458892
38,0.3308372186822589,0.6197710089854728,0.9559381266458892
39,0.3308372186822589,0.6197710089854728,0.9559381266458892
40,0.3308372186822589,0.6197710089854728,0.9559381266458892
41,0.3308372186822589,0.6197710089854728,0.9559381266458892
42,0.3305778100350052,0.619829409555437,0.956005089979254
