Limit Functions,Locations,Functions,Args
1,0.0,,
2,0.4175824175824176,0.7619047619047619,0.895
3,0.4028776978417266,0.7431972789115646,0.8582251082251083
4,0.39903846153846156,0.6486175115207373,0.8807291666666668
5,0.38358208955223877,0.6276595744680851,0.8277441485068604
6,0.3768390804597701,0.6111774065234685,0.831369851994852
7,0.3677417027417027,0.6144972451790632,0.821303952335471
8,0.3605741327001715,0.6058583959899749,0.8180911044973546
9,0.35478488692774407,0.6062391681109186,0.8189327286470144
10,0.35313918966119456,0.6036912492269635,0.8146961350912045
11,0.34714611526163447,0.6019847384254164,0.80337091979649
12,0.34251330394917223,0.5988827015063897,0.8025687605637738
13,0.336343410687673,0.5931821291735085,0.8030714644223961
14,0.33266303215501075,0.5929842161583734,0.7997195403802546
15,0.33076264307726166,0.5955559970858997,0.8001029676762974
16,0.3292129434049686,0.5963152709359606,0.800572807905334
17,0.3274354706555255,0.5979596470740884,0.8008271385239316
18,0.3261559746702413,0.5954761904761905,0.8003311663544037
19,0.3256175354126016,0.5946628315755832,0.8008808106575964
20,0.325590106805617,0.594773363891011,0.8016845025639749
21,0.3252175625366089,0.594424311780787,0.8015901877782743
22,0.3241737625595336,0.5930502786220871,0.8019515899863284
23,0.32426574119141155,0.5939402551471518,0.8026704589881929
24,0.32390490720180987,0.5943531116150164,0.8033841282142755
25,0.32333194068878895,0.5948889727621564,0.8037390305099176
26,0.3231223163689259,0.5954234200276416,0.8040926538783681
27,0.3227329950676396,0.5941196741854636,0.8044450052203136
28,0.3223000831440959,0.5951849768778903,0.8039511760498703
29,0.3223000831440959,0.5951849768778903,0.8039511760498703
30,0.32207711415398144,0.5944049179304749,0.8039511760498703
31,0.3215937669010011,0.5946740214410371,0.8042379999107574
32,0.32127217313410017,0.5946740214410371,0.8042379999107574
