Limit Functions,Locations,Functions,Args
1,0.0,,
2,0.532967032967033,0.7960526315789473,0.8849206349206349
3,0.5383693045563549,0.7556497175141242,0.8661347517730497
4,0.5475427350427351,0.6960408684546615,0.8694999999999999
5,0.5386638237384506,0.6591688089117395,0.8125003981525721
6,0.5410344827586206,0.6375591615956727,0.8106732275132275
7,0.5371428571428571,0.6320101137800253,0.8108268101761252
8,0.5391472101305895,0.6116143086448064,0.8105874344158863
9,0.542596678310964,0.6051893457679808,0.8105087868480726
10,0.5453516125276516,0.6030957930957931,0.8067915520600538
11,0.5448259053276556,0.5927718179710212,0.8008535509031197
12,0.5421859260678784,0.5853634710777568,0.7995823662798452
13,0.5385166381887694,0.5750573637610674,0.8003223758439086
14,0.5391442425667025,0.5703891069391672,0.7990994710186914
15,0.5381707628529663,0.5687211102981712,0.7988622953081388
16,0.5367609655122771,0.5660199794951568,0.7995168438318141
17,0.5363038343349225,0.5637798487448837,0.7997831834291983
18,0.5352784988212383,0.5612817930526264,0.799329952014476
19,0.5350708059077343,0.5603427546753209,0.7999363980866778
20,0.5356783519570467,0.5602671077011674,0.7998670760991388
21,0.535314365219403,0.5599307956266719,0.7999795505361161
22,0.5348940761497534,0.5580285212696843,0.8002785347655091
23,0.5352638780306007,0.5581033348524816,0.8008738297438533
24,0.5352346959381895,0.5575930737820635,0.8014125192754995
25,0.5349617702148026,0.5570742607732403,0.8017071594546161
26,0.5348102113583516,0.5567831234450713,0.8020009266257943
27,0.5348519524935573,0.5558059907680781,0.802339673272887
28,0.5345309646371446,0.5552775185711458,0.8019400473329571
29,0.5345309646371446,0.5552775185711458,0.8019400473329571
30,0.5343625952309555,0.5547545811526075,0.8016010598683918
31,0.5340031880526701,0.5537888405208039,0.8018399506971986
32,0.5334691848646175,0.5537888405208039,0.8018399506971986
